Data values,Data description,Year,Row,Column,Authority,Notes
3,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Vale of Glamorgan,
7,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Blaenau Gwent,
32,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Torfaen,
31,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Monmouthshire,
78,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Cardiff,
339,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Central and departmental support services costs,Total Unitary Authorities,
66,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Gwynedd,
303,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Conwy,
1381,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Wrexham,
1137.2,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Powys,
0,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Pembrokeshire,
0,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Swansea,
18,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Vale of Glamorgan,
0,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Merthyr Tydfil,
0,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Caerphilly,
7,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Blaenau Gwent,
32,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Torfaen,
285,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Monmouthshire,
91,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Newport,
506,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Cardiff,
3826.2,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Gross expenditure,Total Unitary Authorities,
-1049,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),"Income from sales, fees and charges",Wrexham,
-1049,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),"Income from sales, fees and charges",Total Unitary Authorities,
-66,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Other income (excluding joint arrangements),Gwynedd,
-66,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Other income (excluding joint arrangements),Total Unitary Authorities,
-66,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Total income,Gwynedd,
-1049,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Total income,Wrexham,
-1115,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Total income,Total Unitary Authorities,
303,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Conwy,
332,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Wrexham,
1137.2,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Powys,
18,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Vale of Glamorgan,
7,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Blaenau Gwent,
32,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Torfaen,
285,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Monmouthshire,
91,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Newport,
506,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Cardiff,
2711.2,£ thousand,2002-03,Capital charges relating to construction projects (principal roads),Net current expenditure,Total Unitary Authorities,
37,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Direct spend (employee costs and running costs),Gwynedd,
365,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Direct spend (employee costs and running costs),Wrexham,
191,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Direct spend (employee costs and running costs),Vale of Glamorgan,
594,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Direct spend (employee costs and running costs),Monmouthshire,
571,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Direct spend (employee costs and running costs),Cardiff,
1758,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Direct spend (employee costs and running costs),Total Unitary Authorities,
49,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Central and departmental support services costs,Wrexham,
5,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Central and departmental support services costs,Swansea,
33,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Central and departmental support services costs,Vale of Glamorgan,
14,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Central and departmental support services costs,Blaenau Gwent,
71,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Central and departmental support services costs,Monmouthshire,
35,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Central and departmental support services costs,Cardiff,
207,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Central and departmental support services costs,Total Unitary Authorities,
37,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Gwynedd,
414,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Wrexham,
0,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Powys,
5,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Swansea,
224,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Vale of Glamorgan,
0,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Merthyr Tydfil,
14,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Blaenau Gwent,
0,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Torfaen,
665,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Monmouthshire,
606,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Cardiff,
1965,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Gross expenditure,Total Unitary Authorities,
-350,£ thousand,2002-03,Capital charges relating to construction projects (other roads),"Income from sales, fees and charges",Wrexham,
-350,£ thousand,2002-03,Capital charges relating to construction projects (other roads),"Income from sales, fees and charges",Total Unitary Authorities,
-44,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Other income (excluding joint arrangements),Gwynedd,
-44,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Other income (excluding joint arrangements),Total Unitary Authorities,
-44,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Total income,Gwynedd,
-350,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Total income,Wrexham,
-394,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Total income,Total Unitary Authorities,
-7,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Gwynedd,
64,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Wrexham,
5,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Swansea,
224,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Vale of Glamorgan,
14,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Blaenau Gwent,
665,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Monmouthshire,
606,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Cardiff,
1571,£ thousand,2002-03,Capital charges relating to construction projects (other roads),Net current expenditure,Total Unitary Authorities,
83,£ thousand,2002-03,Capital charges relating to construction projects (bridges and culverts),Direct spend (employee costs and running costs),Conwy,
28,£ thousand,2002-03,Capital charges relating to construction projects (bridges and culverts),Direct spend (employee costs and running costs),Wrexham,
190,£ thousand,2002-03,Capital charges relating to construction projects (bridges and culverts),Direct spend (employee costs and running costs),Carmarthenshire,
2,£ thousand,2002-03,Capital charges relating to construction projects (bridges and culverts),Direct spend (employee costs and running costs),Vale of Glamorgan,
164,£ thousand,2002-03,Capital charges relating to construction projects (bridges and culverts),Direct spend (employee costs and running costs),Caerphilly,
